Name,Research Areas,LInk of Hompeage,dept
Santanu Bandyopadhyay,"Process Integration, Pinch Analysis, Industrial Energy Conservation, Modeling and Simulation of Energy Systems, Energy Integration of Distillation Processes",http://www.me.iitb.ac.in/~santanu/,energy
,,,energy
Anuradda Ganesh,"Thermo chemical conversion of biomass, Biomass characterization , Charcoal and active carbon manufacturing process, Alternate fuels in engines , Fluidized bed combustion , Waste (solid and liquid) to Energy, Energy Management , Value added chemicals from biomass liquids , Reduction in emissions from engines",http://www.ese.iitb.ac.in/faculty/anuradda-ganesh,energy
,,,energy
Balasubramaniam Kavaipatti,"Cheap and abundant materials for Photovoltaic applications, Defect chemistry of transparent conductors, Bandgap engineering of materials for photoelectrochemical energy conversion, Solid oxide fuel cell cathode materials to study surface processes",http://www.ese.iitb.ac.in/faculty/balasubramaniam-kavaipatti,energy
,,,energy
Chetan Singh Solanki,"Solar Photovoltaic, Thin-film silicon solar cells, PV solar concentrator, PV module cleaning, Carbon nano tubes (CNT)",http://www.ese.iitb.ac.in/~chetan/index.htm,energy
,,,energy
J. K. Nayak,"Solar thermal energy, Passive solar architecture",http://www.ese.iitb.ac.in/~jknayak/,energy
,,,energy
Manaswita Bose,"Flow of Granular Materials , Complex Fluid Dynamics & Multiphase Flows, Molecular Dynamic Simulation of Particulate Flows , Coal Gasification and Combustion",http://www.ese.iitb.ac.in/faculty/manaswita-bose,energy
,,,energy
Manoj Neergat,"Fuel cells - Direct Methanol Fuel cells, and Polymer Electrolyte Membrane Fuel Cells, Precious metal and Non-precious metal catalysts, Microbial Fuel Cells",http://www.ese.iitb.ac.in/faculty/manoj-neergat,energy
,,,energy
Prakash Chandra Ghosh,"Hydrogen production from renewable sources, Development of low temperature hybrid fuel cells, Optimum design of fuel cells systems , CFD modelling of fuel cells to optimised the flow field pattern , Development of non-destructive methodologies for testing fuel cells, Development of membrane based humidifier to design compact fuel cells, Development of HT-PEFC",http://www.ese.iitb.ac.in/~pcghosh/,energy
,,,energy
Pratibha Sharma,"Solid State Hydrogen Storage Materials, Fluorescent Core shelled Nano structures for Photovoltaics , Low cost and abundant materials for Photovoltaic Applications, Ion Irradiation",http://www.ese.iitb.ac.in/faculty/pratibha-sharma,energy
,,,energy
Rajesh Gupta,"Characterization, modeling and simulation of solar cells and modules, Performance and Reliability of Photovoltaic, Photovoltaic Instrumentation, Infrared Thermography",http://www.ese.iitb.ac.in/~rajeshgupta/,energy
,,,energy
Rangan Banerjee,"Energy Management & Energy Efficiency, Demand Side Management , Energy Modelling , Power Systems Planning, Energy Planning and Policy",http://www.ese.iitb.ac.in/~rb/,energy
,,,energy
Sagar Mitra,"Nanostructured Materials-synthesis, organization and integration, Lithium ion Batteries, Hybrid Vehicles, Na-ion and Magnesium ion batteries, Electrochemical Energy Storage, Electrochemistry of Semiconductors, Cu interconnect metallization process",http://www.ese.iitb.ac.in/faculty/sagar-mitra,energy
,,,energy
Sankara Sarma V Tatiparti,"Hydrogen storage, Electrofabrication of nanostructured materials, Polycrystalline nano dendritic growth",http://www.ese.iitb.ac.in/faculty/sankara-sarma-v-tatiparti,energy
,,,energy
Shaibal K Sarkar,"Sensitized Solar cells , Photoelectrochemistry, Nanocrystalline Materials for Photovoltaic applications, Transparent Conducting Oxides, Atomic Layer Deposition",http://www.ese.iitb.ac.in/faculty/shaibal-k-sarkar,energy
,,,energy
Shireesh Kedare,"Concentrating Solar Collectors: optics, cavity receivers, tracking system controls, field optimization, testing, Industrial process heat applications of solar energy, Solar thermal power, solar co-generation , Rural Energy : Needs, Technologies and Designs, Wind machines",http://www.ese.iitb.ac.in/~sbk/,energy
,,,energy
Suneet Singh,"Advanced Numerical Methods for neutron diffusion and fluid flow, Stability Analysis of Nuclear Reactors, Solar thermal, Analytical solution of multilayer heat conduction problems",http://www.ese.iitb.ac.in/~suneet/,energy
,,,energy
Suryanarayana Doolla,"Smartgrids , Microgrids, Converter topologies and control, Communication protocol for power systems, Grid integration of distributed energy resources, Power systems operation and control, Energy efficiency",http://www.ese.iitb.ac.in/~suryad/index.html,energy
,,,energy
Venkatasailanathan Ramadesigan,"Modelling & numerical simulation of electrochemical energy storage systems, Model based design and optimisation of Li-ion batteries, Solar-PV- battery integrated performance models, Large scale energy storage.",http://www.ese.iitb.ac.in/faculty/venkat-ramadesigan,energy
